Agrupación Política,Lista,Cargo,Género
COMPROMISO FEDERAL,A HACEMOS UNIDOS POR MENDOZA,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES – UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,A LA LIBERTAD MENDOZA,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO AL SOCIALISMO (MAS),IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,A CELESTE Y BLANCA,DIPUTADOS NACIONALES,Masculino
FRENTE RENOVADOR DE LA CONCORDIA-INNOVACION FEDERAL MNES,"ROJA, AZUL Y BLANCA",DIPUTADOS NACIONALES,Masculino
FUERZA LIBERAL MNES,LIBERTAD VIVA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO MNES,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO MNES,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
PARTIDO AGRARIO Y SOCIAL MNES,POR LA GENTE  LETRA P,DIPUTADOS NACIONALES,Masculino
PARTIDO DEL OBRERO,UNIDAD DE TRABAJADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
UNION POPULAR FEDERAL MNES,HACEMOS UNIDOS,DIPUTADOS NACIONALES,Masculino
ARRIBA NEUQUEN,A,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
LIBRES Y SOCIALISTAS,OJALA LA TIERRA,DIPUTADOS NACIONALES,Femenino
MOVIMIENTO POPULAR NEUQUINO,LETRA A   NEUQUEN PAIS,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO POPULAR NEUQUINO,UNIDOS POR NEUQUEN,DIPUTADOS NACIONALES,Masculino
UNIÓN POR LA PATRIA,CELESTE Y BLANCA N°2,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,B LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,C EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
JUNTOS SOMOS RIO NEGRO,SIGAMOS CRECIENDO,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
PARTIDO FE,A CON FE,DIPUTADOS NACIONALES,Femenino
UNION POR LA PATRIA,A AZUL CELESTE Y BLANCA UNIDAD,DIPUTADOS NACIONALES,Masculino
AHORA PATRIA,AHORA LIBERTAD A,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A UNIR Y FORTALECER LA IZQUIERDA ,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,CAMBIO RADICAL   D,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,EL CAMBIO DE NUESTRAS VIDAS   B,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO   A,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,PARA RENOVAR SALTA   C,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,40 AZUL Y ROJO   A,DIPUTADOS NACIONALES,Masculino
PARTIDO AUTONOMISTA,HACEMOS UNIDOS POR SALTA A,DIPUTADOS NACIONALES,Masculino
POLITICA OBRERA,UNIDAD OBRERA A,DIPUTADOS NACIONALES,Femenino
SI-SALTA INDEPENDIENTE,A   POR UNA SALTA INDEPENDIENTE,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,UNION PARA LA VICTORIA K,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,UNION POR LA FELICIDAD DE SALTA C,DIPUTADOS NACIONALES,Femenino
UNION POR LA PATRIA,UNION POR SALTA A,DIPUTADOS NACIONALES,Masculino
ALIANZA JUNTOS POR EL CAMBIO,CAMBIA SAN JUAN,DIPUTADOS NACIONALES,Femenino
ALIANZA JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,SAN JUAN VUELVE,DIPUTADOS NACIONALES,Masculino
