Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,TITULARES,2,DIANA YAMINA DIAZ,F,44,2,40-46
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SUPLENTES,1,EMMANUEL BARROS,M,32,0,30-35
PROYECTO JOVEN,FRENTE JOVEN,BUENOS AIRES,SUPLENTES,2,EDITH LILIANA PAREDES,F,63,6,61-66
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,TITULARES,1,PABLO HERNAN ARGÜELLO,M,44,2,40-46
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,TITULARES,2,GRACIELA SUSANA ROCHA,F,42,2,40-46
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SUPLENTES,1,JORGE GABRIEL CASARES,M,69,7,66-72
PROYECTO JOVEN,PATRIA UNIDA,BUENOS AIRES,SUPLENTES,2,MARCELA MYRIAM BONETTI,F,60,5,56-61
TODOS POR BUENOS AIRES,,BUENOS AIRES,TITULARES,1,DAIANA MARCELA PAEZ,F,32,0,30-35
TODOS POR BUENOS AIRES,,BUENOS AIRES,TITULARES,2,CESAR RAMON FERREYRA,M,49,3,46-51
TODOS POR BUENOS AIRES,,BUENOS AIRES,SUPLENTES,1,PAULA ADRIANA DE LA FUENTE,F,36,1,35-40
TODOS POR BUENOS AIRES,,BUENOS AIRES,SUPLENTES,2,JAVIER DANIEL MASSOLO,M,34,0,30-35
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,TITULARES,1,EDUARDO WADO DE PEDRO,M,47,3,46-51
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,TITULARES,2,JULIANA DI TULLIO,F,52,4,51-56
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,SUPLENTES,1,JULIAN ANDRES DOMINGUEZ,M,60,5,56-61
UNION POR LA PATRIA,CELESTE Y BLANCA NÚMERO LISTA 2,BUENOS AIRES,SUPLENTES,2,MARINA ALEJANDRA MORETTI,F,49,3,46-51
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,TITULARES,1,FERNANDO CARBAJAL,M,59,5,56-61
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,TITULARES,2,MARIA CELESTE RUIZ DIAZ,F,43,2,40-46
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,SUPLENTES,1,FABRIZIO VILLAGGI,M,33,0,30-35
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,FORMOSA,SUPLENTES,2,PATRICIA ELIZABETH CAPPELLO,F,59,5,56-61
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,TITULARES,1,LUIS CARLOS PETCOFF NAIDENOFF,M,56,4,51-56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,TITULARES,2,AGOSTINA VILLAGGI,F,38,1,35-40
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,SUPLENTES,1,MARTIN OSVALDO HERNANDEZ,M,51,4,51-56
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,FORMOSA,SUPLENTES,2,NORMA BEATRIZ AYALA,F,47,3,46-51
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,TITULARES,1,FRANCISCO MANUEL PAOLTRONI,M,42,2,40-46
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,TITULARES,2,NELIDA ELVA SOTELO,F,55,4,51-56
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,SUPLENTES,1,FABIAN ALCIDES FIRMAN,M,55,4,51-56
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,FORMOSA,SUPLENTES,2,MAGDALENA ELIZABETH BARRIOS,F,65,6,61-66
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,TITULARES,1,GERVASIO ANTONIO NIEVA,M,62,6,61-66
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,TITULARES,2,ALEJANDRA ELIZABETH SOTO,F,41,2,40-46
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,SUPLENTES,1,RAUL ARSENIO DIAZ EBEL,M,51,4,51-56
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,FORMOSA,SUPLENTES,2,NORMA MARIA JIMENA DIAZ,F,30,0,30-35
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,TITULARES,1,JOSE MIGUEL ANGEL MAYANS,M,66,6,61-66
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,TITULARES,2,MARIA TERESA MARGARITA GONZALEZ,F,62,6,61-66
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,SUPLENTES,1,GILDO INSFRAN,M,72,8,72-77
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",FORMOSA,SUPLENTES,2,CRISTINA SUSANA MIRASSOU,F,71,7,66-72
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,JUJUY,TITULARES,1,MARIO FIAD,M,66,6,61-66
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,JUJUY,TITULARES,2,SILVIA GIACOPPO,F,64,6,61-66
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,JUJUY,SUPLENTES,1,MARIO ALEJANDRO PIZARRO,M,64,6,61-66
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,JUJUY,SUPLENTES,2,MARIA EUGENIA TULIA SNOPEK,F,50,3,46-51
CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,JUJUY,TITULARES,1,NARDA ALEJANDRA CORDERO,F,51,4,51-56
CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,JUJUY,TITULARES,2,JUAN ADAN BARREIRO,M,78,9,77-82
CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,JUJUY,SUPLENTES,1,ELBA ALINA CARI,F,43,2,40-46
CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,JUJUY,SUPLENTES,2,JOAQUÍN GONZALO FERNÁNDEZ,M,31,0,30-35
CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,JUJUY,TITULARES,1,MARIA LUISA ORDOÑEZ,F,53,4,51-56
CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,JUJUY,TITULARES,2,SERGIO ALEX CARRIZO,M,47,3,46-51
CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,JUJUY,SUPLENTES,1,CELIA YOLANDA DIAZ,F,57,5,56-61
